	TH03_0106_S01	TH34_1150_S01	TH34_1150_S02	TH34_1162_S01	TH27_1168_S01	TH06_1171_S01	TH34_1240_S01	TH27_1266_S01	TH27_1270_S01	TH27_1358_S01	THR31_1384_S01	TH03_0014_S01	TH27_1406_S01	TH03_0157_S01	TH06_0615_S01	TH27_0691_S01	TH27_0696_S01	THR30_0804_S01	THR30_0805_S01	THR30_0806_S01	THR30_0807_S01	THR30_0808_S01	THR30_0809_S01	THR30_0810_S01	THR30_0811_S01	THR30_0812_S01	THR30_0813_S01	THR30_0814_S01	THR30_0815_S01	THR30_0816_S01	THR30_0817_S01	THR30_0818_S01	THR30_0819_S01	THR30_0820_S01	THR30_0821_S01	THR30_0822_S01	THR30_0823_S01	THR30_0824_S01	THR30_0825_S01	THR30_0826_S01	THR30_0827_S01	THR30_0828_S01	THR30_0829_S01	THR30_0830_S01	THR30_0831_S01	THR30_0832_S01	THR30_0833_S01	THR30_0834_S01	THR30_0835_S01	THR30_0836_S01	THR30_0837_S01	THR30_0838_S01	THR30_0839_S01	THR30_0840_S01	THR30_0841_S01	THR30_0842_S01	THR30_0843_S01	THR30_0844_S01	THR30_0845_S01	THR30_0846_S01	THR30_0847_S01	THR30_0848_S01	THR30_0849_S01	THR30_0850_S01	THR30_0851_S01	THR30_0852_S01	THR30_0853_S01	THR30_0854_S01	THR30_0855_S01	THR30_0856_S01	THR30_0857_S01	THR30_0858_S01	THR30_0859_S01	THR30_0860_S01	THR30_0861_S01	THR30_0862_S01	THR30_0863_S01	THR30_0864_S01	THR30_0865_S01	THR31_0906_S01	THR31_0937_S01	THR32_0947_S01
HSC	0.3072	0.3264	0.3731	0.3979	0.7196	0.326	0.4523	0.4909	0.829	0.2328	0.0396	0.3381	0.673	0.5053	0.5949	0.2979	0.387	0.4809	0.5129	0.4851	0.5732	0.7799	0.6042	0.5156	0.2013	0.576	0.4832	0.3894	0.5461	0.2052	0.4331	0.4121	0.4952	0.8915	0.5183	0.4047	0.4673	0.4122	0.087	0.4831	0.3365	0.3987	0.5619	0.5493	0.622	0.6546	0.3915	0.8342	0	0.5226	0.3337	0.5686	0.6617	0.5974	0.4894	0.772	0	0.5334	0.7812	0.2562	0.5662	0.4771	0.4962	0.1937	0.4104	0.2143	0.3994	0.6392	0.7107	0.7707	0.2598	0.3679	0.1492	0.6184	0.591	0.3001	0.0775	0.4403	0.0168	0.4109	0.1411	0.2049
Hepatocytes	0.0026	0.0053	2e-04	0	0.0072	0.0072	0.0013	0.0107	0.0139	0.0065	7e-04	0.0013	0.0118	0.0076	0.0036	0.0054	0.0095	0.0076	0.0075	0.0037	0.0073	0.0109	0.0088	0	0.0044	0.0053	0.0102	0.0013	0.0053	0.0067	0.0062	0.006	0.0013	0.0098	0.0211	0.0047	0.0026	0.0059	0.0029	0	0.0102	0.0063	0.0138	0.0025	0.0116	0.0046	0	0.0029	0.0031	0	0.0041	0.0043	0	0	0.0052	5e-04	0	0.0077	0.0102	0.0082	0.0069	0.0125	0.0127	0.006	0.0093	0.0029	0.0091	0.0045	0.009	0.008	0.001	0.0125	0.0057	0.007	0	0.0087	0	0.0043	0.0049	0.0047	0	0.001
Keratinocytes	0	0	0	0	0	0	0.0032	0	0	0	0.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0.0019	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0.0025	0	0	0.0067	0.0015	0
MEP	0.0716	0.0285	0.0411	0.0455	0.0619	0.0551	0.1795	0.0655	0.0566	0.0874	0.0381	0.0637	0.1102	0.0672	0.1073	0.0648	0.0388	0.0338	0.0784	0.0275	0.0357	0.0629	0.0067	0.0702	0.0339	0.085	0.068	0.0713	0.0393	0.0961	0.087	0.0813	0.0578	0.0393	0.0112	0.0333	0.0573	0.0864	0	0.0435	0.0572	0.0023	0.0087	0.0439	0.0605	0.06	0.0779	0.023	0.1043	0.0618	0.0795	0.0492	0.0497	0.0383	0.0494	0.0141	0.0565	0.0753	0.0123	0.0368	0	0.0533	0.0405	0.1002	0.0197	0.0442	0.037	0.0392	0.0632	0.0601	0.0884	0.034	0.0444	0.0367	0.0748	0.033	0.0636	0.0259	0.0307	0.0437	0.0304	0.0395
MPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSC	0	0.2914	0.2217	0.0697	0.1034	0.2584	0.1001	0.1115	0	0.1886	0.2755	0.0056	0.0363	0.1649	0.0279	0.0563	0	0.0735	0.0727	0.0018	0.0891	0.1753	0.1419	0	0.1815	0.2766	0.0302	0.2581	0.0848	0.0823	0.1398	0.1935	0.1985	0	0	0.1483	0	0.1188	0.2593	0.1127	0.0889	0	0.0108	0.013	0	0.133	0	0.1586	0.1569	0	0.013	0	0.0366	0.162	0.0446	0	0.5013	0	0.0437	0.0572	0	0	0	0	0.1623	0.0905	0.0597	0.1529	0.1824	0.0017	0.2308	0.0343	0	0.2503	0.3375	0.1745	0.4777	0	0	0	0.3727	0.2214
Macrophages	0.006	0	0	0.1256	0.0218	0	0.0189	0	0.0575	0	0	6e-04	0	0.0027	0.0238	0.0043	0	0	0	0	0	0	0.0024	0	0.0432	0	0	0	0.0031	0	0	0	0	0	0.1873	0	0	0	0.0437	0	0	0.0084	0	0	0	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0.2959	0	0	0	0	0	0	0	0.0351	0	0	0	0.007	0	0	0.0152	0	0	0	0	0.0113	0
Macrophages M1	0.0095	4e-04	0	0.0792	0.0359	0.0066	0.0291	0	0.0608	0	0	0.0099	0.0039	0.0278	0.0371	0.0231	0.0112	0	2e-04	0.0087	0	0.0169	0.0147	0.0015	0.0298	0.0053	0	0	0.0268	0	0.0049	0.0045	0	0.0112	0.0895	0	0	0.0111	0.0232	0	0	0.0054	0.0142	0.0028	0	0	0.0016	0.0114	4e-04	0.0201	0	0.005	0.0183	0.0121	0.0018	0.0042	0	0.0044	0	0.0012	0.1059	0	0.0021	0.0128	0	0.0012	0	0.0046	0.0425	6e-04	0	0	0.0091	0	0.0062	0.0227	0	1e-04	0	0.0131	0.0063	0
Macrophages M2	0.0028	0	0	0.0945	0.0058	0	0.0375	0.0035	0.025	0.0043	0	0.013	0	0.0067	0.0409	0	0	0	0	0.0018	0.0038	0.0073	0.0117	0	0.0051	0.0066	0.0032	0	0	0	0.0048	0.007	0	4e-04	0.0902	0	0	3e-04	0.0189	0	0	0.0013	0.0072	0	6e-04	0	0	0.0142	0	0.0034	0	0.0015	0.006	0.007	0.0019	6e-04	0.0014	0	0	0.0052	0.2421	0	0	0.0127	0.0065	0	0	0.0074	0.0205	0	0	0	0.0181	0.0186	0.0111	0.0206	0	0.0016	0	0.0081	0.0047	0.0059
Mast cells	0	0.0032	2e-04	0	0	0.0221	0	0.0108	0	0	0.0022	0	0	0.0102	0	0.0241	0.0147	0.0141	1e-04	0.0134	0.012	0	0.0043	0	0	0.0022	0.0125	0.0126	0.0166	0.0158	0.0155	0.0049	0.0086	0.0046	0.0052	0.0116	0.0154	0.0145	0	0.022	0.0172	0	0.0343	0.0233	0.0084	0.0134	0	0.0057	0.0015	0	0.0188	0.0079	0	0.0237	0.0161	0	0.009	0.0258	0.0154	0.0074	0	0.0153	0.0326	0.0019	0.0093	0.0079	0.0197	0.0131	0	0.0018	0.0197	9e-04	4e-04	0.0027	0	0	0.0063	0.0287	0.0122	0.0074	6e-04	0.0241
