Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TARGET-30-PALWVJ-01	0	0.07670574551627926	0.038443208038849486	0.058006715509849115	0	0.07089311166147597	0	0.06899057299734174	0	0	0	0	0.0330769754115762	0.0748791455610718	0	0.3030702542866179	0.011171955426777255	0	0	0.23198709444606322	0.0327752211440982	0	0.062	0.16862461190455727	1.0262666800854676
TARGET-30-PALXTB-01	0.020753276495285237	0	0.03355127066204351	0.10480253644004417	0	0.11409265517686722	0	0	0.031597357400467325	0	0	0.06785721414280013	0.07227406241496333	0	0.03790068841019298	0.3233963285449641	0.10825056484526163	0	0	0.06987529058799873	0.015648754879111697	0	0.082	0.1389612955306733	1.0282556255387265
TARGET-30-PAMYCE-01	0.0701001466227451	0	0.1635834084497794	0.04978457700855352	0	0.16808979837558918	0	0.03599734099561275	0.08166552768898863	0	0	0.11294790039397397	0.0001	0	0.1136615796693014	0.17305167112822573	0	0	0.03103857973360202	0	0	0	0.02	0.3063942429488032	0.9665636447457161
TARGET-30-PANBJH-01	0	0.16869710569739035	0.12339118189033645	0	0.12211239002488164	0	0	0.03458860369116181	0	0	0.04101246521431518	0.05892923297818453	0.049427253750318235	0	0	0.3038286474789217	0	0.09703300524331117	0	0.001	0	0	1.0	-0.0772	1.1203432969857725
TARGET-30-PANBSP-01	0	0.09019900875173699	0.06152245442197343	0	0	0.4281116467792254	0	0.05789209284162636	0	0	0	0	0	0.34609426489971523	0	0	0	0	0.016180532305722545	0	0	0	0.982	-0.0503	1.1519207173419774
TARGET-30-PANKFE-01	0.030215133685380747	0	0.07493213287354468	0.09258367977478874	0	0.054223431769449305	0.14188882736651462	0.0010606696837570648	0	0	0	0.04521366178055257	0.10651496644736526	0	0.0017469486197418604	0.42811487439581836	0	0	0.018686588954489734	0.004819084648597008	0	0	0.042	0.21201167420256894	0.9999626491526349
TARGET-30-PANNMS-01	0.10727351283917863	0.010336434247209836	0.039453187145551856	0.28229735227838526	0.021650064195789846	0.011933974250003171	0	0.052083629558961904	0.08562536845385706	0	0	0.10208653998106494	0	0.03673037545257016	0.020043029047351044	0.21787064305591275	0	0	0.0126158894941636	0	0	0	0.03	0.27600873205249715	0.9846172214306939
TARGET-30-PANRHJ-01	0.12755839923356196	0	0.21725951082693915	0.07911874025604629	0	0	0	0.06118367105302659	0	0	0	0.09033457624510612	0.0032609394882773964	0.10001154508765554	0	0.29851695920087307	0	0	0.022755658608513866	0	0	0	0.004	0.4285783394677789	0.9060781690031494
TARGET-30-PANRRW-01	0.008961028121315035	0.0006	0.22248200751267	0.15023766079719447	0.06012660342212324	0	0	0.02779270959766246	0	0.02749767605872669	0	0.046510765633213595	0.04624053719114839	0	0.1469518473394349	0.1892647518665336	0.011187854425213344	0	0	0	0.06211465373939403	0	0.006	0.35744114716060366	0.9413280329948368
TARGET-30-PANRVJ-01	0	0.070849677618543	0.07572010050759384	0	0.034542342135840134	0.04949686154090917	0	0.07383823417689109	0	0	0.03177532025230596	0	0.06217797126175089	0	0.029334115041039246	0.315269100751788	0.0289099638466047	0	0	0.22214528048232882	0.00594103238440516	0	0.43	0.026567213946626554	1.0794023626408398
TARGET-30-PANUIF-01	0	0.03455291677361045	0.006016627049079942	0.02999863311232186	0	0	0	0.03901462434747788	0.036371848715140126	0	0.06164603545530251	0	0	0.24215107353585297	0	0.42457499256470416	0	0	0	0.1256732484465101	0	0	0.04	0.23344447558428186	1.0226976100989
TARGET-30-PANWRR-01	0	0.2559892256606006	0.17197587951791388	0.03491556997060867	0.3183577336876633	0	0	0.004336718593847971	0	0	0.05766997909484911	0	0.015953220760363533	0	0	0.10650094386868002	0	0	0.0343007288454729	0	0	0	0.018	0.32819117723185937	0.967911774777868
TARGET-30-PANYGR-01	0	0.06797038491587586	0.027330002603115064	0.0476210484949852	0.04711559384555085	0	0	0	0.03634459863152855	0	0.10975285988489275	0	0.08226756702506588	0.20172369531918807	0.02697797534438687	0.2608049609134314	0	0	0	0.0920913130219795	0	0	0.098	0.12652021489103935	1.0450733518376016
TARGET-30-PANZPV-01	0.051079880488899276	0	0.2684000718971437	0.09634164672707189	0	0.03305137966968733	0	0.08753935501234933	0.010242083426682844	0	0	0.09410502429535152	0.016680750210340857	0	0.002902736734144012	0.27018767431182483	0	0	0	0.06946939722650443	0	0	0.006	0.4018988606187165	0.9209407131838236
TARGET-30-PANZVU-01	0.1284856575285764	0.07311345824240377	0.06064958719192454	0.10173179468541314	0.11522406604672207	0.11189808088827076	0	0	0	0	0.04523323752586245	0	0.0010062166333173882	0.08315790395162614	0	0.19725211954459718	0.0031953301092920786	0.0014127470362651862	0.009230542332525252	0.06840925828320357	0	0	0.006	0.36162482147411634	0.9352568072422328
TARGET-30-PAPBGH-01	0	0.049879981315081534	0.052169087706886	0.15238582485165603	0	0.008806544451055899	0	0.1535935694555549	0	0	0	0.16539323550368085	0.02620136421290396	0	0	0.07302330920408187	0	0	0	0.2699759619874239	0.04857112131167503	0	0.982	-0.0486	1.1693767526452938
TARGET-30-PAPBZI-01	0.23555362135033445	0	0.19433666926533288	0.05618284964823923	0	0.06589794006529165	0	0.0036754951662177795	0.06998888599185968	0	0	0.046783690664185106	0.006487466773142785	0.17652334332053224	0.020261558868636093	0.12287650721369775	0	0	0.0014319716725303495	0	0	0	0.024	0.2948110953586578	0.9870112203543049
TARGET-30-PAPEAV-01	0	0.06947621379303169	0.028131920295303	0.025269089363762817	0	0	0	0.01444420125897127	0.0274063338175635	0	0.034158259471369766	0.020125013080170517	0	0.20829811137467663	0	0.5132106360617711	0	0.029334556851882073	0	0.03014566463149774	0	0	0.08	0.14724568400591026	1.0693035011859984
TARGET-30-PAPHPE-01	0	0.0032362168256193174	0.0015892622643265675	0.030294662380005114	0	0.17538952335797378	0	0.11010460546015692	0.013218750792853463	0	0.012892437210945977	0.11497370799827546	0.09331735279611508	0	0.011275054982926793	0.29977192341783937	0.01577877701607448	0	0	0.024834890810276247	0.09332283468661133	0	0.944	-0.0391	1.1109403241393052
TARGET-30-PAPKXS-01	0.02618230724861228	0.024002997608237236	0.24806527403179646	0	0.021656187519062533	0.1285970388120338	0	0.07362814625072091	0.026007441926379726	0	0	0.09732153960709874	0.02128352024263991	0.21193765086394342	0.023475242017737076	0.055818144225050444	0	0	0	0.04202450964668743	0	0	0.11	0.11576202998226989	1.064798480660798
TARGET-30-PAPLSD-01	0.038772208156243985	0	0.18374019943594727	0.04360368977780292	0.01699205642504722	0.013048375145032255	0	0.02721082343087139	0	0	0	0.0470420763455672	0	0.1161453947882545	0.0063268930580630866	0.5071182834371702	0	0	0	0	0	0	0.002	0.46267636008601853	0.8878985875400199
TARGET-30-PAPUAR-01	0.18625671047748543	0.1300356670718916	0.040698290735772545	0.13374178718998417	0.09568099722993266	0.031352790161465006	0	0.04647996723354478	0.07213094621137357	0	0	0.033336608984961366	0	0.04840887419884644	0.010455545496693294	0.16801407669884616	0	0	0	0.0034077383092029163	0	0	0.002	0.4948881194998577	0.8681230167328045
