	antecedent	consequent	confidence	lift
19947	33,39,43	35	0.966804979253112	1.4325346896890199
19948	2,6,31	51	0.9478021978021978	1.4028694184440693
19949	17,45	23	0.9298701298701298	1.3778075687753109
19950	3,12,33	31	0.9748251748251748	1.4428669075285616
19951	15,24,37,47	18	0.9774330042313117	1.449841420700482
19952	34,36,45,59	31	0.9815340909090909	1.4527969680695243
19953	31,37,38,52	57	0.984375	1.457001879699248
19954	2,36,44,47	43	0.9611111111111111	1.4225683255758443
19955	16,17,63	65	0.9623430962343096	1.4259234264633105
19956	29,50,64	31	0.9719495091164095	1.438610551624503
19957	33,48,53	45	0.9477303988995873	1.4057830890028324
19958	16,24,54	31	0.9790209790209791	1.4490772385509227
19959	33,36,37,47,64	31	0.9885386819484241	1.4631646656551325
19960	3,4,15,18	19	0.9664804469273743	1.4382398011511035
19961	11,30,63	22	0.9626038781163435	1.4247778131517952
19962	12,48	6	0.9147286821705426	1.3745868310043705
19963	34,37,63	45	0.9448183041722745	1.4014635340682393
19964	38,39,66	30	0.9332443257676902	1.382807183771911
19965	6,39,50	59	0.9651324965132496	1.428520494302103
19966	3,32,64	35	0.9707927677329624	1.4384434773505617
19967	9,24,35,47	44	0.9759547383309759	1.4445388071107248
19968	28,31,37	6	0.9258278145695364	1.3912657889605466
19969	15,28,47	24	0.9664804469273743	1.4305156346572736
19970	18,31,33	6	0.924380704041721	1.389091177938377
19971	4,35,43	62	0.9623955431754875	1.4244694505862745
19972	2,38,47	23	0.9313593539703903	1.3800141825496752
19973	24,39,47,59	35	0.9718706047819972	1.4400405305264432
19974	24,50,53	6	0.9517906336088154	1.4302807994688633
19975	6,47,64	48	0.9324324324324325	1.3816041848299914
19976	2,15,23,24	4	0.9773049645390071	1.4930446132314321
19977	3,31,33,59	44	0.9636363636363636	1.4263060248022652
19978	12,24,37,38	31	0.9816124469589816	1.452912945122961
19979	6,47,65	8	0.9557399723374828	1.420722418426161
19980	2,15,37	44	0.9612724757952974	1.4228071661073252
