MARCH3_0	27
CXorf49B_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
GAPDHP1_1	2,4,6,7,8,9,10,12,13,14,15,16,19,22,24,25,26,27,28,29,32,34,35,44,45,56,58,60,65,66,67,68,69
GAPDHP1_0	0,1,3,5,11,17,18,20,21,23,30,31,33,36,37,38,39,40,41,42,43,46,47,48,49,50,51,52,53,54,55,57,59,61,62,63,64
IGHV1-3_1	1,3,4,5,6,8,9,12,13,15,16,17,19,23,24,26,30,31,32,33,35,36,37,38,39,40,42,43,44,45,47,48,49,50,51,53,57,59,60,62,63,64,65,68,69
IGHV1-3_0	0,2,7,10,11,14,18,20,21,22,25,27,28,29,34,41,46,52,54,55,56,58,61,66,67
SNORA4_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
PTPMT1_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
RP11-670E13.6_0	4,5,7,8,9,13,16,21,22,24,25,26,27,29,30,31,33,34,37,38,39,41,42,45,46,49,53,54,55,56,57,60,61,62,63,65,68,69
RP11-463I20.1_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CXCL13_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CLEC4M_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
HMGN5_1	4,14,15,19,25,26,28,43,44,50,55,56,62,67
HMGN5_0	0,1,2,3,5,6,7,8,9,10,11,12,13,16,17,18,20,21,22,23,24,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,45,46,47,48,49,51,52,53,54,57,58,59,60,61,63,64,65,66,68,69
S100A1_1	1,2,3,4,5,7,8,12,14,15,17,18,19,21,23,24,25,28,29,30,31,32,33,35,36,37,38,40,42,44,45,47,51,52,53,54,55,57,59,61,62,64,66,69
S100A1_0	0,6,9,10,11,13,16,20,22,26,27,34,39,41,43,46,48,49,50,56,58,60,63,65,67,68
PTTG1_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CXCL11_0	0,1,4,5,7,8,9,10,11,13,14,16,17,20,21,22,23,24,25,27,28,29,30,31,38,39,40,41,42,43,48,49,52,53,55,56,61,63,65,66,67,68,69
AC092066.1_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69
AC092066.1_0	27,42,48,49,67
CH507-9B2.5_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
RP11-256P1.1_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CXXC4_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
AC069257.6_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
RAB34_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CH507-9B2.3_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CPED1_1	1,2,3,4,6,8,9,11,12,14,15,17,18,19,20,22,23,24,25,28,29,30,31,32,33,35,36,37,40,41,43,44,47,48,52,53,54,55,57,58,59,62,63,64,65,69
CPED1_0	0,5,7,10,13,16,21,26,27,34,38,39,42,45,46,49,50,51,56,60,61,66,67,68
RORC_1	0,2,7,8,14,15,17,19,20,21,24,25,26,27,28,29,31,32,34,36,38,39,41,42,44,48,50,52,53,54,55,57,59,60,61,67,68
RORC_0	1,3,4,5,6,9,10,11,12,13,16,18,22,23,30,33,35,37,40,43,45,46,47,49,51,56,58,62,63,64,65,66,69
MTND1P23_0	0,1,2,4,5,7,9,10,11,14,16,17,18,19,20,21,23,24,25,27,29,31,32,33,34,36,38,39,40,41,42,44,45,46,47,50,51,52,53,54,55,57,60,62,63,64,66,67,68,69
MTND1P23_1	3,6,8,12,13,15,22,26,28,30,35,37,43,48,49,56,58,59,61,65
RP11-974F13.5_0	0,1,2,4,7,8,11,12,14,16,17,22,26,27,41,42,43,49,55,56,58,60,61,64,65,66,67,68,69
RP11-974F13.5_1	3,5,6,9,10,13,15,18,19,20,21,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,44,45,46,47,48,50,51,52,53,54,57,59,62,63
ANKRD24_0	1,3,4,5,7,10,11,12,13,15,16,17,19,23,24,26,27,29,30,31,33,34,36,37,40,41,42,43,44,48,50,51,52,55,58,60,61,62,63,64,65,67,68,69
PI16_2	1,2,4,5,8,13,16,17,19,24,30,31,32,33,35,38,41,47,49,51,52,53,57,58,59,61,62,64
PI16_1	0,3,6,7,9,10,11,12,14,15,18,20,21,22,23,25,26,27,28,29,34,36,37,39,40,42,43,44,45,46,48,50,54,55,56,60,63,65,66,67,68,69
SNHG25_0	1,2,3,4,7,11,14,18,19,20,21,24,28,29,32,34,35,37,40,41,42,46,47,50,52,57,58,60,61,62,63,67,68
SNHG25_1	0,5,6,8,9,10,12,13,15,16,17,22,23,25,26,27,30,31,33,36,38,39,43,44,45,48,49,51,53,54,55,56,59,64,65,66,69
CELF5_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
MYOM1_1	3,4,6,9,12,15,20,21,23,26,34,40,62,68
MYOM1_0	0,1,2,5,7,8,10,11,13,14,16,17,18,19,22,24,25,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,69
TLX3_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
VMO1_0	5,12,26,50,67
VMO1_1	0,1,2,3,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69
TMEM132D_0	0,1,3,5,8,10,12,13,15,21,22,25,28,30,33,37,38,40,47,49,55,56,57,58,59,60,62,66
TMEM132D_1	2,4,6,7,9,11,14,16,17,18,19,20,23,24,26,27,29,31,32,34,35,36,39,41,42,43,44,45,46,48,50,51,52,53,54,61,63,64,65,67,68,69
RP11-294J22.6_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
RNU1-1_0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
CALB1_1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
RP11-248N22.1_1	0,3,5,6,8,9,10,11,12,13,14,15,16,18,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,39,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,60,61,63,64,65,66,67,68,69
AGTR1_0	60
CPT1C_1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
